Model,Accuracy,Precision,Recall,F1
LGB,0.2,0.2015306122448979,0.1714285714285714,0.1307359307359307
XGB,0.3,0.1870748299319727,0.2476190476190476,0.1952380952380952
RF,0.15,0.1158730158730158,0.1238095238095238,0.1003401360544217
SVC,0.25,0.145021645021645,0.238095238095238,0.1700680272108843
MLP,0.15,0.0880952380952381,0.1428571428571428,0.1082766439909297
GBDT,0.25,0.1761904761904762,0.1999999999999999,0.1746031746031746
KNN,0.2,0.1507936507936507,0.1714285714285714,0.1404761904761904
NB,0.2,0.16547619047619047,0.17142857142857143,0.15012368583797156
